,created_at,id,id_str,sentiment,School_reopening,2020Election,News_State_Economy,Policies_Mask_Safty,General_Critics,dominant_topic
70,2020-08-08 23:48:29+00:00,1.29E+18,1.29E+18,-1,0.8,0.05,0.05,0.05,0.05,0
71,2020-08-08 23:48:12+00:00,1.29E+18,1.29E+18,-1,0.03,0.9,0.03,0.03,0.03,1
72,2020-08-08 23:48:06+00:00,1.29E+18,1.29E+18,-1,0.31,0.02,0.02,0.62,0.02,3
73,2020-08-08 23:47:55+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.1,0.6,0.1,3
74,2020-08-08 23:47:50+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
75,2020-08-08 23:47:31+00:00,1.29E+18,1.29E+18,0,0.6,0.1,0.1,0.1,0.1,0
76,2020-08-08 23:47:09+00:00,1.29E+18,1.29E+18,-1,0.64,0.04,0.24,0.04,0.04,0
77,2020-08-08 23:47:01+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.05,0.05,0.8,4
78,2020-08-08 23:46:58+00:00,1.29E+18,1.29E+18,-1,0.03,0.9,0.03,0.03,0.03,1
79,2020-08-08 23:46:49+00:00,1.29E+18,1.29E+18,1,0.02,0.02,0.16,0.78,0.02,3
80,2020-08-08 23:46:32+00:00,1.29E+18,1.29E+18,1,0.87,0.03,0.03,0.03,0.03,0
81,2020-08-08 23:46:30+00:00,1.29E+18,1.29E+18,1,0.05,0.58,0.27,0.05,0.05,1
82,2020-08-08 23:46:29+00:00,1.29E+18,1.29E+18,0,0.56,0.05,0.05,0.05,0.29,0
83,2020-08-08 23:46:24+00:00,1.29E+18,1.29E+18,1,0.03,0.16,0.03,0.76,0.03,3
84,2020-08-08 23:46:17+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
85,2020-08-08 23:45:49+00:00,1.29E+18,1.29E+18,0,0.6,0.1,0.1,0.1,0.1,0
86,2020-08-08 23:45:46+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.1,0.6,4
87,2020-08-08 23:45:13+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.1,0.59,0.1,3
88,2020-08-08 23:45:08+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.1,0.59,4
89,2020-08-08 23:44:51+00:00,1.29E+18,1.29E+18,-1,0.02,0.91,0.02,0.02,0.02,1
90,2020-08-08 23:44:29+00:00,1.29E+18,1.29E+18,-1,0.03,0.72,0.2,0.03,0.03,1
91,2020-08-08 23:44:26+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.1,0.6,4
92,2020-08-08 23:44:18+00:00,1.29E+18,1.29E+18,1,0.01,0.68,0.07,0.22,0.01,1
93,2020-08-08 23:44:06+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.1,0.1,0.59,4
94,2020-08-08 23:43:50+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
95,2020-08-08 23:43:44+00:00,1.29E+18,1.29E+18,1,0.02,0.44,0.02,0.02,0.5,4
96,2020-08-08 23:43:37+00:00,1.29E+18,1.29E+18,1,0.29,0.36,0.05,0.25,0.05,1
97,2020-08-08 23:43:34+00:00,1.29E+18,1.29E+18,1,0.03,0.88,0.03,0.03,0.03,1
98,2020-08-08 23:43:21+00:00,1.29E+18,1.29E+18,1,0.05,0.54,0.31,0.05,0.05,1
99,2020-08-08 23:43:15+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
100,2020-08-08 23:43:13+00:00,1.29E+18,1.29E+18,0,0.05,0.05,0.8,0.05,0.05,2
101,2020-08-08 23:43:01+00:00,1.29E+18,1.29E+18,-1,0.6,0.05,0.05,0.05,0.25,0
102,2020-08-08 23:42:51+00:00,1.29E+18,1.29E+18,1,0.03,0.58,0.03,0.35,0.03,1
103,2020-08-08 23:42:49+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.28,0.57,0.05,3
104,2020-08-08 23:42:42+00:00,1.29E+18,1.29E+18,1,0.59,0.1,0.1,0.1,0.1,0
105,2020-08-08 23:42:30+00:00,1.29E+18,1.29E+18,1,0.04,0.64,0.24,0.04,0.04,1
106,2020-08-08 23:42:04+00:00,1.29E+18,1.29E+18,1,0.2,0.2,0.2,0.2,0.2,0
107,2020-08-08 23:41:45+00:00,1.29E+18,1.29E+18,-1,0.02,0.59,0.02,0.17,0.2,1
108,2020-08-08 23:41:38+00:00,1.29E+18,1.29E+18,1,0.41,0.07,0.07,0.07,0.39,0
109,2020-08-08 23:41:26+00:00,1.29E+18,1.29E+18,1,0.07,0.07,0.07,0.73,0.07,3
110,2020-08-08 23:41:26+00:00,1.29E+18,1.29E+18,1,0.05,0.8,0.05,0.05,0.05,1
111,2020-08-08 23:41:25+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
112,2020-08-08 23:41:24+00:00,1.29E+18,1.29E+18,0,0.07,0.07,0.07,0.07,0.73,4
113,2020-08-08 23:41:20+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.1,0.6,4
114,2020-08-08 23:40:59+00:00,1.29E+18,1.29E+18,-1,0.01,0.34,0.01,0.01,0.62,4
115,2020-08-08 23:40:30+00:00,1.29E+18,1.29E+18,1,0.02,0.02,0.02,0.15,0.78,4
116,2020-08-08 23:40:25+00:00,1.29E+18,1.29E+18,-1,0.02,0.49,0.02,0.46,0.02,1
117,2020-08-08 23:40:18+00:00,1.29E+18,1.29E+18,-1,0.07,0.07,0.72,0.07,0.07,2
118,2020-08-08 23:40:12+00:00,1.29E+18,1.29E+18,-1,0.04,0.04,0.04,0.84,0.04,3
119,2020-08-08 23:39:52+00:00,1.29E+18,1.29E+18,-1,0.03,0.03,0.03,0.53,0.38,3
120,2020-08-08 23:39:49+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
121,2020-08-08 23:39:25+00:00,1.29E+18,1.29E+18,-1,0.54,0.03,0.37,0.03,0.03,0
122,2020-08-08 23:39:20+00:00,1.29E+18,1.29E+18,-1,0.8,0.05,0.05,0.05,0.05,0
123,2020-08-08 23:39:16+00:00,1.29E+18,1.29E+18,-1,0.05,0.05,0.05,0.05,0.8,4
124,2020-08-08 23:39:11+00:00,1.29E+18,1.29E+18,1,0.02,0.43,0.02,0.51,0.02,3
125,2020-08-08 23:38:52+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.86,0.03,0.03,2
126,2020-08-08 23:38:50+00:00,1.29E+18,1.29E+18,-1,0.1,0.6,0.1,0.1,0.1,1
127,2020-08-08 23:38:43+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
128,2020-08-08 23:38:41+00:00,1.29E+18,1.29E+18,1,0.07,0.73,0.07,0.07,0.07,1
129,2020-08-08 23:38:33+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.6,0.1,0.1,2
130,2020-08-08 23:38:28+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.1,0.1,0.6,4
131,2020-08-08 23:38:19+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.58,0.03,0.33,2
132,2020-08-08 23:38:15+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.6,0.1,3
133,2020-08-08 23:38:10+00:00,1.29E+18,1.29E+18,1,0.02,0.02,0.51,0.21,0.23,2
134,2020-08-08 23:37:44+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.03,0.9,0.03,3
135,2020-08-08 23:37:19+00:00,1.29E+18,1.29E+18,-1,0.02,0.74,0.02,0.2,0.02,1
136,2020-08-08 23:37:01+00:00,1.29E+18,1.29E+18,0,0.75,0.17,0.03,0.03,0.03,0
137,2020-08-08 23:36:59+00:00,1.29E+18,1.29E+18,1,0.04,0.47,0.04,0.41,0.04,1
138,2020-08-08 23:36:45+00:00,1.29E+18,1.29E+18,1,0.22,0.03,0.03,0.7,0.03,3
139,2020-08-08 23:36:38+00:00,1.29E+18,1.29E+18,1,0.17,0.51,0.03,0.03,0.26,1
140,2020-08-08 23:36:13+00:00,1.29E+18,1.29E+18,-1,0.6,0.1,0.1,0.1,0.1,0
141,2020-08-08 23:36:11+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
142,2020-08-08 23:35:53+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
143,2020-08-08 23:35:42+00:00,1.29E+18,1.29E+18,1,0.05,0.39,0.05,0.46,0.05,3
144,2020-08-08 23:35:33+00:00,1.29E+18,1.29E+18,-1,0.03,0.03,0.03,0.3,0.6,4
145,2020-08-08 23:35:20+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
146,2020-08-08 23:34:57+00:00,1.29E+18,1.29E+18,1,0.07,0.07,0.39,0.41,0.07,3
147,2020-08-08 23:34:40+00:00,1.29E+18,1.29E+18,0,0.05,0.05,0.8,0.05,0.05,2
148,2020-08-08 23:34:28+00:00,1.29E+18,1.29E+18,-1,0.04,0.84,0.04,0.04,0.04,1
149,2020-08-08 23:34:19+00:00,1.29E+18,1.29E+18,-1,0.07,0.73,0.07,0.07,0.07,1
150,2020-08-08 23:34:07+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.3,0.05,0.54,4
151,2020-08-08 23:33:57+00:00,1.29E+18,1.29E+18,-1,0.05,0.45,0.05,0.39,0.05,1
152,2020-08-08 23:33:49+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.1,0.6,4
153,2020-08-08 23:33:38+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.39,0.51,0.03,3
154,2020-08-08 23:33:30+00:00,1.29E+18,1.29E+18,1,0.6,0.31,0.03,0.03,0.03,0
155,2020-08-08 23:33:29+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.05,0.79,0.05,3
156,2020-08-08 23:33:25+00:00,1.29E+18,1.29E+18,0,0.1,0.6,0.1,0.1,0.1,1
157,2020-08-08 23:33:14+00:00,1.29E+18,1.29E+18,1,0.02,0.77,0.02,0.18,0.02,1
158,2020-08-08 23:33:02+00:00,1.29E+18,1.29E+18,1,0.74,0.03,0.03,0.18,0.03,0
159,2020-08-08 23:32:56+00:00,1.29E+18,1.29E+18,1,0.07,0.73,0.07,0.07,0.07,1
160,2020-08-08 23:32:11+00:00,1.29E+18,1.29E+18,-1,0.05,0.31,0.05,0.53,0.05,3
161,2020-08-08 23:32:00+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.05,0.8,0.05,3
162,2020-08-08 23:31:56+00:00,1.29E+18,1.29E+18,-1,0.05,0.05,0.05,0.05,0.8,4
163,2020-08-08 23:31:56+00:00,1.29E+18,1.29E+18,0,0.03,0.03,0.86,0.03,0.04,2
164,2020-08-08 23:31:48+00:00,1.29E+18,1.29E+18,-1,0.03,0.21,0.23,0.03,0.5,4
165,2020-08-08 23:31:30+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
166,2020-08-08 23:31:29+00:00,1.29E+18,1.29E+18,1,0.09,0.68,0.2,0.01,0.01,1
167,2020-08-08 23:31:16+00:00,1.29E+18,1.29E+18,1,0.04,0.04,0.39,0.27,0.26,2
168,2020-08-08 23:31:11+00:00,1.29E+18,1.29E+18,1,0.2,0.2,0.2,0.2,0.2,0
169,2020-08-08 23:30:49+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.1,0.6,0.1,3
170,2020-08-08 23:30:40+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.1,0.1,0.59,4
171,2020-08-08 23:30:38+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.1,0.6,4
172,2020-08-08 23:30:34+00:00,1.29E+18,1.29E+18,-1,0.03,0.9,0.03,0.03,0.03,1
173,2020-08-08 23:30:34+00:00,1.29E+18,1.29E+18,-1,0.28,0.03,0.2,0.46,0.03,3
